整租 | 胜辛南路800号办公楼 1室1厅1卫 1598元月,胜辛南路800号办公楼,1598,https://sh.58.com/zufang/44711228597656x.shtml
整租 | 14号线即将开通 出门即达 交通便利 楼层好 采光足,嘉利坊,2600,https://sh.58.com/zufang/44743234084628x.shtml
单间 | 嘉城新航域 3室1厅1卫 次卧 北,嘉城新航域,1200,https://sh.58.com/hezu/44659247305738x.shtml
整租 | 海伦堡爱ME城市精装修一房，真实价钱真实图片，近桃浦,海伦堡爱ME城市,2900,https://sh.58.com/zufang/44701466362632x.shtml
单间 | 13号线丰庄站 丰庄十四街坊 朝南主卧带阳台急租 拎,丰庄十四街坊,2400,https://sh.58.com/hezu/44656249569921x.shtml
整租 | 干净清爽，原房东自己装修出租的,绿地新江桥城(东区),4600,https://sh.58.com/zufang/44742618771995x.shtml
单间 | 新城金郡(二期南区商住楼) 2室1厅1卫 次卧 北,新城金郡(二期南区商住楼...,1400,https://sh.58.com/hezu/44692099753888x.shtml
整租 | 我是房东，芒果青年社区，精装Loft公寓，靖远路12,天际蓝桥,1800,https://sh.58.com/zufang/44559335324581x.shtml
单间 | 13号线金运路，大宅风范城，次卧独卫 水电民用,大宅风范城,1880,https://sh.58.com/hezu/44668277476356x.shtml
整租 | 白银路地铁口精装洋房 带前后花园及地下室 业主诚心出,新城金郡(一期东区),9000,https://sh.58.com/zufang/44480486075420x.shtml
单间 | 方宝佳苑 3室1厅1卫 次卧 南,方宝佳苑,900,https://sh.58.com/hezu/44692096258574x.shtml
单间 | 11号线马陆地铁站，十一街区，单间带独卫，国庆优惠8,深城投十一街区(东区),1000,https://sh.58.com/hezu/43725390471297x.shtml
整租 | 降价300 小区环境好 近轻纺市场地铁 可办居住证,嘉尚坊,3600,https://sh.58.com/zufang/44710246921731x.shtml
单间 | 胜悦嘉苑 单间出租 房间干净整洁 民用水电 押一付一,胜悦嘉苑(西苑),1000,https://sh.58.com/hezu/44527889272463x.shtml
整租 | 嘉海雅苑(西区) 1室1厅1卫,嘉海雅苑(西区),4300,https://sh.58.com/zufang/44692056759968x.shtml
整租 | 近地铁安亭中央公园安静高楼层豪华精装修大三房诚心出租,安亭中央公园(公寓住宅),4000,https://sh.58.com/zufang/44323595036443x.shtml
整租 | 印象城地铁站！精装别墅 送地下室 车库 大花园 家具,布鲁斯郡,12000,https://sh.58.com/zufang/43472586919571x.shtml
整租 | 嘉定宝龙广场楼上 酒店式公寓 宜家家具 看房随时 拎,嘉定宝龙城市广场,1800,https://sh.58.com/zufang/44249198386587x.shtml
单间 | 翔黄雅苑 4室2厅2卫 次卧 南,翔黄雅苑,1300,https://sh.58.com/hezu/44678397535006x.shtml
整租 | 急租 远香舫 三房出租 西云楼隔壁 配套齐全 可拎包,远香舫嘉苑,3800,https://sh.58.com/zufang/44315281661608x.shtml
整租 | 地铁11号线安亭地铁站200米 精装修 家电齐全 拎,嘉亭菁苑,2200,https://sh.58.com/zufang/44632246247453x.shtml
整租 | 急租南翔地铁口 二室一厅精装全配看房有钥匙照片真实的,中冶祥腾菁英尚都,3500,https://sh.58.com/zufang/44665926082848x.shtml
整租 | 金鹤新城中房公寓 4室0厅1卫,金鹤新城中房公寓,6800,https://sh.58.com/zufang/44691960259470x.shtml
整租 | 11号线白银路地铁口 整租两房 精装修 看房随时 拎,新城金郡(一期南区),4000,https://sh.58.com/zufang/44138396901669x.shtml
整租 | 可短租 精致1室1厅1卫 1608元月 拎包入住,胜辛南路800号办公楼,1608,https://sh.58.com/zufang/44613704484519x.shtml
单间 | 品质小区，可长租，短租，价格好，拎包入住，周边生活设,日月光伯爵天地城市华庭,990,https://sh.58.com/hezu/44602521629062x.shtml
整租 | 湖畔天下(别墅) 4室1厅4卫,湖畔天下(别墅),10500,https://sh.58.com/zufang/44405088969234x.shtml
整租 | 11号线地铁安亭站 可短租 精装全配 押一付一 随时,大名城名郡,1280,https://sh.58.com/zufang/44742949493156x.shtml
整租 | 11号地铁站品质小区恒大御景自带地暖 3室2厅2卫,恒大御景湾,7000,https://sh.58.com/zufang/44687336385802x.shtml
"整租 | 曹安公路精装修独立卫生间可做饭公寓,",东华环球建材市场,800,https://sh.58.com/zufang/36750630367370x.shtml
整租 | 阳光葡提公馆 2室1厅1卫,阳光葡提公馆,2500,https://sh.58.com/zufang/44691570080397x.shtml
整租 | 近11号线嘉定新城站，整租独立一室户，给漂泊的你一个,胜辛南路800号办公楼,1500,https://sh.58.com/zufang/44621213310628x.shtml
单间 | 出租放心 求租安心 总有一个您满意的房子 近地铁 可,日月光伯爵天地城市华庭,1300,https://sh.58.com/hezu/44558279784999x.shtml
单间 | 塔城路800弄小区 2室1厅1卫 主卧 南,塔城路800弄小区,1350,https://sh.58.com/hezu/44691253443353x.shtml
整租 | 龙湖郦城四房两厅精装修地铁11号线嘉定新城可以办居住,龙湖郦城(西区公寓住宅),7200,https://sh.58.com/zufang/44656374763010x.shtml
整租 | 新出房源，电梯房1房整套出租中，随时看房，直租。,水岸金桥苑,2800,https://sh.58.com/zufang/44289880239780x.shtml
整租 | 13号线江桥万达附近安歆公寓员工宿舍拎包入住入户打扫,天际蓝桥,600,https://sh.58.com/zufang/43172061924119x.shtml
单间 | 马陆新村 3室1厅2卫 主卧 东南,马陆新村,1250,https://sh.58.com/hezu/44692926479008x.shtml
整租 | 远离都市喧嚣，回归自然本色，识交三五良友，共享尊雅生,利金国际,2000,https://sh.58.com/zufang/43815354271389x.shtml
单间 | 地铁口 精装南卧出租 走路到地铁 可短租 随时看房,日月光伯爵天地鼎固君庭,1130,https://sh.58.com/hezu/44631795094689x.shtml
整租 | 德华一村 精装全配 采光无遮挡 102平 配套齐全,德华一村,4500,https://sh.58.com/zufang/44510268497437x.shtml
整租 | 金鹤新城双佳翠庭 2室2厅1卫,金鹤新城双佳翠庭,4750,https://sh.58.com/zufang/44692799171606x.shtml
整租 | 合景精装两房整租，环境优美，宝龙商业圈，随时看房,合景峰汇,2600,https://sh.58.com/zufang/44654181609226x.shtml
整租 | 13号线大宅风范城 1室1厅2000元 装修好拎包住,大宅风范城,2000,https://sh.58.com/zufang/43934332908573x.shtml
整租 | 新出精装一房，有钥匙随时看，近地铁，中环百联，家电齐,真新新村嘉秀坊,3200,https://sh.58.com/zufang/44522019954450x.shtml
单间 | 金帝城市岸泊(公寓住宅) 3室2厅2卫 次卧 北,金帝城市岸泊(公寓住宅),1200,https://sh.58.com/hezu/44254887439361x.shtml
整租 | 可以办居住证，白银路地铁站 精装三房 家具家电全配,保利星海屿筑(北区),5000,https://sh.58.com/zufang/44291858803214x.shtml
单间 | 近大融城 育英街，枫树林小区单间出租 ，押一付一，拎,枫树林景苑(北区),1450,https://sh.58.com/hezu/44415703095570x.shtml
整租 | 近地铁！嘉宝小区精装三房！楼层好，采光足！配套齐全！,嘉宝小区,5200,https://sh.58.com/zufang/43837953939337x.shtml
单间 | 嘉定蔷薇苑 3室1厅1卫 次卧 北,嘉定蔷薇苑,800,https://sh.58.com/hezu/44692662661775x.shtml
整租 | 精装四室，可做员工宿舍，民用水电，押一付一近地铁，非,日月光伯爵天地鼎固君庭,5300,https://sh.58.com/zufang/44515916933530x.shtml
整租 | 嘉定漳翔路精装带独卫拎包入住可短租,漳翔路1086弄2号楼,849,https://sh.58.com/zufang/44460431806870x.shtml
整租 | 业主自住房源 中建溪岸澜庭 印象城旁 地铁口 随时可,中建溪岸澜庭,4200,https://sh.58.com/zufang/44189491937060x.shtml
整租 | 万城银座 2室2厅1卫,万城银座,3900,https://sh.58.com/zufang/44631425497756x.shtml
整租 | 温馨一房 价格好谈 近轻纺市场 毗邻14号地铁站 可,嘉利坊,2600,https://sh.58.com/zufang/44603771067013x.shtml
整租 | 刚退，急租，直降500，一梯两户，双南两房，拎包入住,嘉利坊,4200,https://sh.58.com/zufang/44732524570641x.shtml
整租 | 稀有双床户型 闺蜜特惠房型 阳光充足 电梯房 家具齐,汇丰沁苑(北区),2448,https://sh.58.com/zufang/44524234024598x.shtml
整租 | 马陆汽配城 1室1厅1卫,马陆汽配城,1700,https://sh.58.com/zufang/44692534653829x.shtml
整租 | 玉兰精装一室户  家电家具全配  可办居住证 拎包即,玉兰一村,1600,https://sh.58.com/zufang/44335516863262x.shtml
整租 | 黄渡镇中心  精装1房  空租了 电梯 随时可看 拎,大众春盛苑(公寓住宅),2400,https://sh.58.com/zufang/44691862892036x.shtml
整租 | 祥源福邸 银翔湖旁 近诸暨大厦 勇立大厦  楼层好,祥源福邸,4300,https://sh.58.com/zufang/44432349102233x.shtml
整租 | 翔和雅苑(三区) 1室1厅1卫,翔和雅苑(三区),2400,https://sh.58.com/zufang/44692439186847x.shtml
整租 | 水岸金桥苑位于鹤霞路555弄一房一厅一卫月租3900,水岸金桥苑,3900,https://sh.58.com/zufang/44493278187146x.shtml
整租 | 近地铁金运路，江桥万达广场，手机实拍，可做员工，拎包,绿地新江桥城(东区),4500,https://sh.58.com/zufang/44742612135068x.shtml
整租 | 嘉海雅苑精装全配小三房拎包入住,嘉海雅苑(西区),3900,https://sh.58.com/zufang/44602846557190x.shtml
整租 | 阳光苑二区 2室1厅1卫,阳光苑二区,3000,https://sh.58.com/zufang/44692299799450x.shtml
整租 | 急租..嘉星小区.精装两房.配套齐全.拎包入住.看房,嘉星小区,2200,https://sh.58.com/zufang/44161333288739x.shtml
整租 | 嘉海雅苑小两房出租拎包入住,嘉海雅苑(北区),3100,https://sh.58.com/zufang/44589985242916x.shtml
整租 | 汇丰荷苑 3室2厅2卫,汇丰荷苑,3500,https://sh.58.com/zufang/44692264270877x.shtml
整租 | 泰宸新苑，房东收次出租，精装修两房，全明户型，有钥匙,泰宸新苑,5800,https://sh.58.com/zufang/44677940786573x.shtml
整租 | 不收任何费用 ） 曹安公路4068号)19号桥,东华环球建材市场,800,https://sh.58.com/zufang/44742329435166x.shtml
整租 | 保利家园 2室2厅1卫 3300元月， 精装修 看房,保利家园(南区),3300,https://sh.58.com/zufang/44632867856289x.shtml
单间 | 路劲上海庄园(公寓住宅) 2室1厅2卫 主卧 南,路劲上海庄园(公寓住宅),990,https://sh.58.com/hezu/44681308913933x.shtml
单间 | 主卧带阳台独卫！近地铁站，无中接费,深城投十一街区(西区),1505,https://sh.58.com/hezu/43062480101403x.shtml
整租 | 地铁口，精装温馨两房，拎包入住，实拍照片 预约看房,嘉善坊,4000,https://sh.58.com/zufang/44658553657747x.shtml
整租 | 地铁口  新出 神房东自住，手次出租，全明户型，可办,嘉尚坊,3000,https://sh.58.com/zufang/44587806220443x.shtml
单间 | 沁乐佳苑 3室2厅3卫 主卧 南,沁乐佳苑,1100,https://sh.58.com/hezu/44680911980068x.shtml
整租 | 易家公寓 近金运路 独立厨卫 押一付一 交通便利 拎,靖远路1200号楼,1600,https://sh.58.com/zufang/44747570216203x.shtml
整租 | 好房源！！没人看图片以及房源真实有效！！请擦亮眼睛,绿地新江桥城(西区),5000,https://sh.58.com/zufang/44514725973528x.shtml
整租 | 好房不等人！！ 带车位！！！环境优美！南北通，双阳台,嘉城幸福港,6800,https://sh.58.com/zufang/44634631076877x.shtml
单间 | 龙湖郦城(西区公寓住宅) 3室1厅2卫 次卧 北,龙湖郦城(西区公寓住宅),2150,https://sh.58.com/hezu/44680849012519x.shtml
整租 | 我的日子因你而璀璨，我的心因你而辽阔，我的感情因你而,新城金郡M11金座,2588,https://sh.58.com/zufang/44742311538818x.shtml
整租 | 金鼎香樟苑(东区) 2室1厅1卫 4500元月 配套,金鼎香樟苑(东区),4500,https://sh.58.com/zufang/44501476535322x.shtml
整租 | 可办居住证 近地铁交通便利  适合一家人居住 加格很,爱德佳苑五街坊,3700,https://sh.58.com/zufang/44426924761634x.shtml
整租 | 通用国际(公寓住宅) 1室1厅1卫,通用国际(公寓住宅),3000,https://sh.58.com/zufang/44680578089103x.shtml
整租 | 十一号线南翔  近银翔湖公园  南翔医院 可短租 商,中冶祥腾城市佳园(二期),3000,https://sh.58.com/zufang/44251938704902x.shtml
整租 | 波恩带花园两房 拒绝恶意标价 精装全配 清爽整洁环境,安亭新镇波恩风情,4000,https://sh.58.com/zufang/44006258960286x.shtml
单间 | 嘉定北华润万家旁保利海上五月花精装全配朝南主卧大飘窗,保利海上五月花(公寓住宅...,1150,https://sh.58.com/hezu/44467353445020x.shtml
单间 | 大宅风范城 1室0厅1卫 主卧 南,大宅风范城,1750,https://sh.58.com/hezu/44680351246491x.shtml
整租 | 11号安亭地铁口. 落地飘窗，阳光充足，精装全配，,安亭财富广场(南楼),1250,https://sh.58.com/zufang/44698529820931x.shtml
整租 | 11号线地铁口整租一室一厅欧式家具装修简单大方空间大,世昶生活广场,1590,https://sh.58.com/zufang/44676886844699x.shtml
整租 | 翔瑞新苑！精装三房！性价比高！拎包即住！楼层好！南北,翔瑞新苑(东区),4500,https://sh.58.com/zufang/43772044153753x.shtml
单间 | 绿洲丰怡园 3室1厅1卫 主卧 南,绿洲丰怡园,1300,https://sh.58.com/hezu/44680214190504x.shtml
整租 | 地铁口威廉公馆 南翔核心位置 ！ 拎包即住 精装全配,威廉公馆清猗园(二期),6500,https://sh.58.com/zufang/43748026848802x.shtml
整租 | 实拍新出房源精装全配两房两厅近地铁万达广场看房随时拎,澜茵华庭(西区),4500,https://sh.58.com/zufang/44742926429832x.shtml
整租 | 品牌公寓！非中介！独立厨卫！月付！可短租！随时看房！,胜辛南路800号办公楼,1500,https://sh.58.com/zufang/44598620793096x.shtml
整租 | 翔瑞新苑(南区) 2室1厅1卫,翔瑞新苑(南区),4500,https://sh.58.com/zufang/44646460062237x.shtml
整租 | 丰庄曹安路 新出来 2房1厅 可住一家人 洗衣机空调,曹安国际鞋城公寓,2700,https://sh.58.com/zufang/38163121469608x.shtml
单间 | 嘉定西 周边配套齐全 实图实价 真实押一付一 民用水,阳光嘉苑,950,https://sh.58.com/hezu/44687116091526x.shtml
整租 | 自居两年由小孩上学该去另一个房子住  楼道干净整洁,光明D9空间,2600,https://sh.58.com/zufang/44124398342150x.shtml
整租 | 丽景公寓 2室1厅1卫,丽景公寓,2400,https://sh.58.com/zufang/44294327542564x.shtml
整租 | 新城金郡~交通便利~拎包入住~带燃气~进地铁,新城金郡M11金座,2400,https://sh.58.com/zufang/44300429069707x.shtml
整租 | 安歆公寓 专业企业员工宿舍 13号线金运路 江桥万达,万达城市公寓,1600,https://sh.58.com/zufang/44100751460517x.shtml
整租 | 旭辉锦庭(东区) 2室1厅1卫,旭辉锦庭(东区),2900,https://sh.58.com/zufang/44679945658011x.shtml
"整租 | 曹安公路精装修独立卫生间可做饭公寓,",东华环球建材市场,800,https://sh.58.com/zufang/36750630367370x.shtml
整租 | 近11号线嘉定新城站，整租独立一室户，给漂泊的你一个,胜辛南路800号办公楼,1500,https://sh.58.com/zufang/44621213310628x.shtml
单间 | 出租放心 求租安心 总有一个您满意的房子 近地铁 可,日月光伯爵天地城市华庭,1300,https://sh.58.com/hezu/44558279784999x.shtml
单间 | 金鹤新城中房公寓 3室2厅1卫 次卧 北,金鹤新城中房公寓,1300,https://sh.58.com/hezu/44690658841354x.shtml
整租 | 办居住证，车位充足，房型正气，看房方便，可长租，价格,嘉利坊,3000,https://sh.58.com/zufang/44732571132698x.shtml
整租 | 江桥老街天际蓝桥 两房豪华装修 家具家电齐全 480,天际蓝桥,4800,https://sh.58.com/zufang/44017787331105x.shtml
整租 | 整租一室一厅 地铁口交通便利 商场超市 公交可付一压,金桂新村,1500,https://sh.58.com/zufang/44665845617304x.shtml
单间 | 翔瑞新苑(北区) 4室2厅2卫 次卧 南,翔瑞新苑(北区),1400,https://sh.58.com/hezu/44690199271437x.shtml
整租 | 近11号线嘉定新城站，整租独立一室户，给漂泊的你一个,胜辛南路800号办公楼,1500,https://sh.58.com/zufang/44587827217425x.shtml
整租 | 14号线沃尔玛站 天际蓝桥 精装修家具家电全配大三房,天际蓝桥,6500,https://sh.58.com/zufang/44537460549392x.shtml
整租 | 可做仓库办公！印象城地铁口！送地下室 花园 车库,布鲁斯郡,12500,https://sh.58.com/zufang/43472586961561x.shtml
整租 | 临夏路796号小区 1室1厅1卫,临夏路796号小区,1500,https://sh.58.com/zufang/44601048101780x.shtml
整租 | 带电梯，找不到性价比这么高的房源了，可做饭,东华环球建材市场,800,https://sh.58.com/zufang/44742329388441x.shtml
单间 | 大宅风范城全装全配精装修房源，近万达广场。,大宅风范城,3000,https://sh.58.com/hezu/44047359100546x.shtml
整租 | 仓场路428号 一居室 家电齐全 押一付一 拎包入住,仓场路428号商业,1500,https://sh.58.com/zufang/44096618770443x.shtml
整租 | 合景叠翠峰(一期) 3室2厅1卫,合景叠翠峰(一期),4500,https://sh.58.com/zufang/44669685170327x.shtml
整租 | 本 月特 价！江桥老街 独立1室 精装拎包入住 月付,江桥佳苑,1700,https://sh.58.com/zufang/43604957758363x.shtml
整租 | 中房公寓位于金耀路333弄75平4100房间阳光通透,金鹤新城中房公寓,4100,https://sh.58.com/zufang/44603648814980x.shtml
整租 | 11号线 安亭地铁口 精装 拎包入住 随时看房,安亭财富广场(南楼),1180,https://sh.58.com/zufang/44743165551528x.shtml
单间 | 绿洲香润苑 4室1厅2卫 次卧 朝南,绿洲香润苑,950,https://sh.58.com/hezu/44690067401509x.shtml
整租 | 上实海上公元 豪华 装修 大三房 两卫 看房 方便,上实海上公元,7000,https://sh.58.com/zufang/44457100708004x.shtml
整租 | 我总是一个人午夜到清晨，纯情和青春总是要到浪费殆尽才,红土天阶,2588,https://sh.58.com/zufang/44742299288717x.shtml
整租 | 黄渡绿苑一村精装2房2厅 全南户型 有钥匙 可随时看,绿苑一村,2800,https://sh.58.com/zufang/44513751288323x.shtml
整租 | 万科柏林映像 3室2厅2卫,万科柏林映像,7500,https://sh.58.com/zufang/44689864890247x.shtml
整租 | 11号线南翔 地铁直达江苏路 印象城附近 公寓直租,世盟壹天地,2210,https://sh.58.com/zufang/44699067869081x.shtml
单间 | 11号线嘉定西地铁口精装全配朝南主卧独卫诚意出租,宝菊清水园,1400,https://sh.58.com/hezu/44467523831180x.shtml
整租 | 泰翔嘉苑 1室1厅1卫 3500元月 配套齐全 精装,泰翔嘉苑,3500,https://sh.58.com/zufang/44609851881360x.shtml
单间 | 汇丰凯苑 3室1厅2卫 主卧 南,汇丰凯苑,1300,https://sh.58.com/hezu/44600072746116x.shtml
整租 | 绿地新出精装一室户近万达地铁 驴妈妈大小户型多套选择,绿地新江桥城(东区),2100,https://sh.58.com/zufang/44742926557450x.shtml
整租 | 11号线地铁口 整租一室 免中介 押一付一 包网络包,大名城名郡,1350,https://sh.58.com/zufang/43693460568987x.shtml
整租 | 安亭地铁口 精装北欧风格 时尚一房 温馨舒适 拎包入,金桂新村,1500,https://sh.58.com/zufang/44715760024360x.shtml
整租 | 嘉星小区 2室1厅1卫,嘉星小区,2500,https://sh.58.com/zufang/44689550621331x.shtml
整租 | 整租，近地铁万达广场，周边配套齐全，有钥匙可随时看房,万达城市公寓,5500,https://sh.58.com/zufang/44709390923420x.shtml
整租 | 出门地铁，对面万达！环境优美，精装修，品质小区,大宅风范城,5500,https://sh.58.com/zufang/44721407448845x.shtml
整租 | 银凯南华公寓 1室1厅1卫,银凯南华公寓,1800,https://sh.58.com/zufang/44577597007008x.shtml
整租 | 11号安亭地铁口. 落地飘窗，阳光充足，精装全配，,安亭财富广场(南楼),1250,https://sh.58.com/zufang/44698529820931x.shtml
整租 | 11号线地铁口整租一室一厅欧式家具装修简单大方空间大,世昶生活广场,1590,https://sh.58.com/zufang/44676886844699x.shtml
整租 | 翔瑞新苑！精装三房！性价比高！拎包即住！楼层好！南北,翔瑞新苑(东区),4500,https://sh.58.com/zufang/43772044153753x.shtml
单间 | 银翔新村 2室1厅1卫 次卧 南,银翔新村,1600,https://sh.58.com/hezu/44679876381479x.shtml
整租 | 地铁口威廉公馆 南翔核心位置 ！ 拎包即住 精装全配,威廉公馆清猗园(二期),6500,https://sh.58.com/zufang/43748026848802x.shtml
整租 | 实拍新出房源精装全配两房两厅近地铁万达广场看房随时拎,澜茵华庭(西区),4500,https://sh.58.com/zufang/44742926429832x.shtml
整租 | 品牌公寓！非中介！独立厨卫！月付！可短租！随时看房！,胜辛南路800号办公楼,1500,https://sh.58.com/zufang/44598620793096x.shtml
单间 | 金沙湾绿地和苑(一期) 3室1厅1卫 次卧 北,金沙湾绿地和苑(一期),1000,https://sh.58.com/hezu/44679697057700x.shtml
整租 | 丰庄曹安路 新出来 2房1厅 可住一家人 洗衣机空调,曹安国际鞋城公寓,2700,https://sh.58.com/zufang/38163121469608x.shtml
单间 | 嘉定西 周边配套齐全 实图实价 真实押一付一 民用水,阳光嘉苑,950,https://sh.58.com/hezu/44687116091526x.shtml
整租 | 自居两年由小孩上学该去另一个房子住  楼道干净整洁,光明D9空间,2600,https://sh.58.com/zufang/44124398342150x.shtml
单间 | 金鹤新城中房公寓 2室2厅1卫 次卧 南,金鹤新城中房公寓,1400,https://sh.58.com/hezu/44604088339342x.shtml
整租 | 新城金郡~交通便利~拎包入住~带燃气~进地铁,新城金郡M11金座,2400,https://sh.58.com/zufang/44300429069707x.shtml
整租 | 安歆公寓 专业企业员工宿舍 13号线金运路 江桥万达,万达城市公寓,1600,https://sh.58.com/zufang/44100751460517x.shtml
"整租 | 蠡家真实房屋,环境好，生活便利，价格可谈",绿地卡米公社,3800,https://sh.58.com/zufang/44667396216579x.shtml
整租 | 澜茵华庭(东区) 2室2厅1卫,澜茵华庭(东区),4500,https://sh.58.com/zufang/44679643097094x.shtml
整租 | 安亭近大众一厂 精装一室一厅 一厨一卫 押一付一 随,沁乐小区,1350,https://sh.58.com/zufang/44622769836968x.shtml
整租 | 大众厂附近 沁乐小区 精装修 随时看房,沁乐小区,1388,https://sh.58.com/zufang/44455900135974x.shtml
整租 | 汽车城，靠近上汽大众，独立一室户，独门独户，可做饭，,安亭瑞仕锦庭,1500,https://sh.58.com/zufang/43815078139142x.shtml
整租 | 金沙湾绿地和苑(一期) 2室1厅1卫,金沙湾绿地和苑(一期),3300,https://sh.58.com/zufang/44612413485192x.shtml
整租 | 安亭镇中心无中介整租一房 房东急租大众厂附近民用水电,安亭雅苑,1300,https://sh.58.com/zufang/44698577485199x.shtml
整租 | 金霞苑，主卧2100，阁楼1250，阁楼卧1350，,金鹤新城金霞苑,2100,https://sh.58.com/zufang/44193938806157x.shtml
整租 | 黄渡大众春盛苑精装2房2厅 可办居住证 有钥匙 看房,大众春盛苑(公寓住宅),2900,https://sh.58.com/zufang/44378466392464x.shtml
单间 | 金鹤新城中房公寓 3室0厅1卫 次卧 南,金鹤新城中房公寓,1420,https://sh.58.com/hezu/44626070073117x.shtml
单间 | 大宅风范城，独厨独卫近地铁13号线，独厨独卫,大宅风范城,1900,https://sh.58.com/hezu/44047478228373x.shtml
整租 | 马路镇中心大融城对面 繁华地段 购物交通便利 精装全,上海百有商城,1150,https://sh.58.com/zufang/44355318754207x.shtml
整租 | 嘉定区地铁13号线丰庄站集中式员工宿舍,真新新村嘉和坊,600,https://sh.58.com/zufang/44157926552741x.shtml
单间 | 泰宸景苑 4室0厅1卫 主卧 南,泰宸景苑,2550,https://sh.58.com/hezu/44555406605859x.shtml
整租 | 盘古天地(西区) 3室2厅1卫 4000元月 出租,盘古天地(西区),4000,https://sh.58.com/zufang/44134520231325x.shtml
整租 | 江桥二村 精装双南两户，原房东租。背靠网红老街，对面,江桥二村五街坊,3600,https://sh.58.com/zufang/44459769484680x.shtml
整租 | 非中介近11号地铁桃浦站，爱ME海伦堡一室一厅，精装,海伦堡爱ME城市,3500,https://sh.58.com/zufang/44643979619356x.shtml
单间 | 大宅风范城 1室0厅1卫 其他 南,大宅风范城,2300,https://sh.58.com/hezu/44678785960606x.shtml
整租 | 精装白领一室户时尚装修风可办居住证临近地铁口民用水电,红梅小区(嘉定),1480,https://sh.58.com/zufang/44492350926107x.shtml
整租 | 精装一房，房东急租，嘉定新城地铁口，瑞金医院对面，,合景理想家,2600,https://sh.58.com/zufang/43924606328460x.shtml
整租 | 澜茵华庭(东区) 2室2厅1卫,澜茵华庭(东区),3800,https://sh.58.com/zufang/44600168913055x.shtml
整租 | 初次出租 家电全新 交通便利 居家装修 适合年轻人,嘉尚坊,3150,https://sh.58.com/zufang/44732140746516x.shtml
单间 | 近地铁 金沙嘉苑 水电民用 1900元月 精装修 电,金沙嘉苑,1900,https://sh.58.com/hezu/44733378764935x.shtml
整租 | 曹安公路精装修独立卫生间可做饭公寓,黄渡镇联西村,800,https://sh.58.com/zufang/44476873027745x.shtml
单间 | 金沙湾绿地和苑(一期) 4室0厅4卫 主卧 南,金沙湾绿地和苑(一期),1750,https://sh.58.com/hezu/44676848343322x.shtml
整租 | 只做不产虚假近地铁华泰中心对面房租月付拎包入住可刷卡,泰宸沙河茗苑,2400,https://sh.58.com/zufang/44742806386701x.shtml
单间 | 金沙丽晶苑（一期），地铁13号线丰庄站，精装电梯合租,金沙丽晶苑(一期),2500,https://sh.58.com/hezu/44643699370259x.shtml
整租 | 大宅风范城，俩室一厅，近万达广场，华泰中心，绿地集团,大宅风范城,4200,https://sh.58.com/zufang/44732718554641x.shtml
单间 | 永翔佳苑(西区) 2室1厅1卫 主卧 南,永翔佳苑(西区),1600,https://sh.58.com/hezu/44689202188956x.shtml
整租 | 整租金鼎香樟苑(西区)3室1厅南北,金鼎香樟苑(西区),6000,https://sh.58.com/zufang/44149312581669x.shtml
整租 | 精装一楼两房一厅，楼层低，装修好，家电齐，拎包入住，,真新新村嘉秀坊,3900,https://sh.58.com/zufang/44656484718726x.shtml
整租 | 印象城800米 湖畔天下 湖景三房 5200元月 电,湖畔天下(公寓住宅),5200,https://sh.58.com/zufang/43519854367782x.shtml
单间 | 中星海兰苑 1室0厅1卫 其他 北,中星海兰苑,1700,https://sh.58.com/hezu/44658754807303x.shtml
单间 | 近地铁站 商业万达广场 精装1850 水电民用 押一,泰宸沙河茗苑,1850,https://sh.58.com/hezu/44722721559050x.shtml
整租 | 丰庄国际鞋城 近大润发 轻纺市场  上下复式 可办公,曹安国际鞋城公寓,3000,https://sh.58.com/zufang/35988503059512x.shtml
整租 | 银翔新村 房东自住精装两房 配套齐全 近地铁银翔湖,银翔新村,4200,https://sh.58.com/zufang/44358297243265x.shtml
单间 | 民东公寓 3室1厅1卫 次卧 北,民东公寓,1200,https://sh.58.com/hezu/44568981982721x.shtml
整租 | 13号线地铁口300米 配套齐全  低于市场价 来电,澜茵华庭(东区),5000,https://sh.58.com/zufang/44588571867280x.shtml
整租 | 安亭地铁口，成熟小区，配套齐全，精装复式，一室一厅可,V6时代,1380,https://sh.58.com/zufang/44654254288395x.shtml
整租 | 近邻嘉定新城站万达广场精装修小区环境优美诚意出租,龙湖郦城(商住楼),2700,https://sh.58.com/zufang/44499245427480x.shtml
整租 | 日月光伯爵湾(一期) 3室1厅2卫,日月光伯爵湾(一期),3600,https://sh.58.com/zufang/44688690735774x.shtml
整租 | 嘉定万达，马陆大融城，南翔商圈，整租一室户，可月付，,胜辛南路800号办公楼,1500,https://sh.58.com/zufang/44599543673732x.shtml
整租 | 紧邻万达及13号线，小区安静 环境优美 装修两室 可,绿地新江桥城(南区),3500,https://sh.58.com/zufang/44669104469415x.shtml
整租 | 刚退租房源，近轻纺市场丰庄茶城精装两房居家装修，价格,嘉美坊,4200,https://sh.58.com/zufang/44732991750824x.shtml
整租 | 新城金郡(二期北区) 2室2厅1卫,新城金郡(二期北区),4500,https://sh.58.com/zufang/44688585459215x.shtml
整租 | 合景峰汇 精装两房 现代化装修 靠近宝龙 远香湖 交,合景峰汇,3200,https://sh.58.com/zufang/44744302118308x.shtml
整租 | 近地铁，精装联排别墅，周边设备齐全，居家的不二选择，,白金果岭(别墅),18800,https://sh.58.com/zufang/44734358753556x.shtml
